alternative_id,entropy_rank,waspas_rank,promethee_rank,borda_rank,csa_rank,csa_score
A60,1,1,1,1,1,1.0
A109,10,2,2,3,2,0.934599805969611
A26,11,3,3,4,3,0.9268806033179448
A98,2,4,4,2,4,0.903924318580288
A8,7,6,5,5,5,0.8807942697107364
A51,19,5,6,7,6,0.8574187924505255
A106,6,8,7,6,7,0.8515088903725834
A62,42,7,8,18,8,0.8259749996508866
A134,16,9,10,10,9,0.8051059634009166
A59,69,10,9,28,10,0.8007621801165972
A22,5,17,12,9,11,0.7989717172877779
A140,4,12,16,8,12,0.797727659276491
A92,9,20,11,11,13,0.7956941798266496
A12,24,11,15,15,14,0.7848220918151535
A15,20,14,14,13,15,0.7840414858803422
