scenario_name,kendall_vs_base,max_rank_shift,mean_rank_shift,spearman_vs_base,top10_overlap_with_base
drop_entropy,0.9637969094922738,11.0,2.185430463576159,0.9974416172882536,10
drop_promethee,0.8479470198675497,48.0,8.264900662251655,0.9650121993726036,7
drop_waspas,0.9750993377483443,7.0,1.6158940397350994,0.9986894388288601,8
entropy_up,0.9701545253863134,8.0,1.8278145695364238,0.9982955733705123,9
equal_weights,0.9853421633554084,4.0,0.9403973509933775,0.9994527710003485,9
equal_weights_minmax,0.9122295805739514,31.0,4.887417218543046,0.9875566399442314,8
promethee_up,0.9977041942604856,2.0,0.17218543046357615,0.9999442314395259,10
remove_bottom5,0.9871516296646197,3.0,0.8082191780821918,0.9995681220055336,9
remove_random10,0.9880445795339412,12.0,5.333333333333333,0.9996232715441586,9
remove_top1,0.9876510067114093,4.0,1.28,0.9995982043646385,9
remove_top5,0.9869626830420406,8.0,5.0,0.9995642659520116,10
reported_weights,0.9878145695364239,3.0,0.7947019867549668,0.999606134541652,9
reported_weights_minmax,0.9171743929359824,30.0,4.6092715231788075,0.9887730916695712,8
waspas_up,0.9860485651214127,5.0,0.8609271523178808,0.999512025095852,9
